*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PoolController
*Date=18:13:02
*CreatedBy=Fritzing 0.9.5d.2020-02-07.CD-548-0-3d61c58
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;69.9788;-39.3252;-90;Bottom;TXT5
2;;THT;8.41536;-57.1389;0;Bottom;Temp 1
3;;;23.1473;-45.1019;0;Bottom;Via7
4;;THT;35.8474;-46.3719;0;Bottom;ADS1115
5;;;51.0874;-55.2619;0;Bottom;Via15
6;;THT;66.3274;-38.7519;0;Bottom;Relay
7;;;39.9014;-52.5123;0;Bottom;TXT6
8;;;39.244;-37.1846;0;Bottom;TXT6
9;10k;THT;18.0674;-34.9419;0;Bottom;10K
10;10k;THT;18.0674;-45.1019;0;Bottom;10K
11;;THT;8.41536;-26.6589;0;Bottom;Temp 4
12;;;39.2798;-39.6102;0;Bottom;TXT6
13;;;27.4952;-3.84033;0;Bottom;TXT7
14;;;39.2906;-34.6623;0;Bottom;TXT6
15;;;23.1473;-24.7819;0;Bottom;Via5
16;10k;THT;18.0674;-24.7819;0;Bottom;10K
17;;;73.9474;-50.1819;0;Bottom;Via16
18;;;39.1012;-42.172;0;Bottom;TXT6
19;;THT;48.5474;-15.8919;0;Bottom;485MAX
20;;;39.7961;-50.0375;0;Bottom;TXT6
21;;;39.6421;-55.1056;0;Bottom;TXT6
22;;;30.7674;-55.2619;0;Bottom;Via14
23;;THT;80.4244;-33.6719;0;Bottom; 
24;10k;THT;18.0674;-55.2619;0;Bottom;10K
25;;THT;59.8504;-63.3899;-90;Bottom;PWR
26;;;88.3354;-65.4219;0;Bottom;Hole1
27;;;4.98574;-17.0662;0;Bottom;TXT2
28;;;74.4664;-33.5684;-90;Bottom;TXT1
29;;;56.1674;-50.1819;0;Bottom;Via12
30;;;88.3354;-2.77393;0;Bottom;Hole3
31;;;81.6006;-7.17954;-90;Bottom;TXT2
32;;THT;8.41536;-46.9789;0;Bottom;Temp 2
33;;;71.4074;-65.4219;0;Bottom;Via11
34;;;4.95814;-14.4811;0;Bottom;TXT2
35;;THT;8.41536;-36.8189;0;Bottom;Temp 3
36;;;39.6778;-57.5472;0;Bottom;TXT6
37;;;55.7414;-63.2532;-90;Bottom;TXT3
38;;;17.1488;-1.79894;0;Bottom;TXT8
39;;;30.7674;-55.2619;0;Bottom;Via13
40;;;2.82735;-65.4219;0;Bottom;Hole2
41;;;78.7654;-60.3132;-90;Bottom;TXT2
42;;THT;7.90736;-15.8919;0;Bottom; 
43;;;2.82735;-2.77403;0;Bottom;Hole4
44;;;64.3065;-62.7257;90;Bottom;TXT4
45;;;23.1473;-34.9419;0;Bottom;Via6
